N,seed_theta,seed_Y,K_candidate,fold,predictive_llk
400,1,1,4,1,-3433.38986579645
400,1,1,4,2,-3463.33739427038
400,1,1,4,3,-3431.75855602157
400,1,1,4,4,-3465.29687696849
400,1,1,4,5,-3459.8038701154
400,1,1,5,1,-3420.81901352918
400,1,1,5,2,-3458.54455324926
400,1,1,5,3,-3404.02041258443
400,1,1,5,4,-3445.43364136724
400,1,1,5,5,-3442.33255395967
400,1,1,6,1,-3415.63407792202
400,1,1,6,2,-3493.82336720364
400,1,1,6,3,-3390.79881504698
400,1,1,6,4,-3439.46959261853
400,1,1,6,5,-3424.38473747989
400,1,1,7,1,-3425.25829913328
400,1,1,7,2,-3451.65036058601
400,1,1,7,3,-3396.91830171455
400,1,1,7,4,-3447.28732018723
400,1,1,7,5,-3446.15579745294
400,1,1,8,1,-3467.58764932902
400,1,1,8,2,-3447.29621672797
400,1,1,8,3,-3441.38694671868
400,1,1,8,4,-3457.23094850661
400,1,1,8,5,-3436.77003297141
400,1,2,4,1,-3502.19190025089
400,1,2,4,2,-3499.26899821479
400,1,2,4,3,-3477.39895872549
400,1,2,4,4,-3434.69628993725
400,1,2,4,5,-3461.14811018122
400,1,2,5,1,-3516.68826137225
400,1,2,5,2,-3474.70095130057
400,1,2,5,3,-3475.78519514398
400,1,2,5,4,-3415.25811649089
400,1,2,5,5,-3445.39513895755
400,1,2,6,1,-3462.400859098
400,1,2,6,2,-3463.45841914503
400,1,2,6,3,-3447.27768927454
400,1,2,6,4,-3414.21187974369
400,1,2,6,5,-3445.49619636796
400,1,2,7,1,-3468.16957945002
400,1,2,7,2,-3531.22946338629
400,1,2,7,3,-3451.23985498945
400,1,2,7,4,-3397.77474771716
400,1,2,7,5,-3428.19329195966
400,1,2,8,1,-3501.28970895353
400,1,2,8,2,-3478.64661967176
400,1,2,8,3,-3456.35454345552
400,1,2,8,4,-3404.29201892809
400,1,2,8,5,-3431.17939139647
400,1,3,4,1,-3426.99096488014
400,1,3,4,2,-3369.20569300816
400,1,3,4,3,-3432.545619473
400,1,3,4,4,-3410.19316067592
400,1,3,4,5,-3409.45402129489
400,1,3,5,1,-3419.88609879387
400,1,3,5,2,-3336.99189255836
400,1,3,5,3,-3397.93652902002
400,1,3,5,4,-3348.96836331676
400,1,3,5,5,-3395.18510012819
400,1,3,6,1,-3384.82797437347
400,1,3,6,2,-3322.3072679945
400,1,3,6,3,-3379.84456350732
400,1,3,6,4,-3332.71186250506
400,1,3,6,5,-3363.73050632721
400,1,3,7,1,-3436.80770701281
400,1,3,7,2,-3325.67493550719
400,1,3,7,3,-3390.64015878677
400,1,3,7,4,-3353.09975860664
400,1,3,7,5,-3370.96236582045
400,1,3,8,1,-3419.35940031516
400,1,3,8,2,-3378.64130352539
400,1,3,8,3,-3392.85125777933
400,1,3,8,4,-3372.15997647417
400,1,3,8,5,-3373.64199379772
400,1,4,4,1,-3397.25361683573
400,1,4,4,2,-3414.31091635103
400,1,4,4,3,-3443.87590326942
400,1,4,4,4,-3442.90574857806
400,1,4,4,5,-3417.44073881016
400,1,4,5,1,-3383.29137874625
400,1,4,5,2,-3390.2352525619
400,1,4,5,3,-3461.23083284045
400,1,4,5,4,-3438.6847535547
400,1,4,5,5,-3384.138057543
400,1,4,6,1,-3393.85788317054
400,1,4,6,2,-3368.65497250186
400,1,4,6,3,-3439.04115393785
400,1,4,6,4,-3348.08584960562
400,1,4,6,5,-3368.82322261869
400,1,4,7,1,-3397.96686939018
400,1,4,7,2,-3374.21474569986
400,1,4,7,3,-3418.23531539007
400,1,4,7,4,-3354.47535867866
400,1,4,7,5,-3410.79832694579
400,1,4,8,1,-3384.26143026339
400,1,4,8,2,-3381.4532060896
400,1,4,8,3,-3427.39389590227
400,1,4,8,4,-3387.67652558314
400,1,4,8,5,-3385.29961887584
400,1,5,4,1,-3391.01099634439
400,1,5,4,2,-3352.89203554163
400,1,5,4,3,-3372.29434809579
400,1,5,4,4,-3356.35418088672
400,1,5,4,5,-3362.07382400385
400,1,5,5,1,-3398.14541575668
400,1,5,5,2,-3367.01943571662
400,1,5,5,3,-3380.07192129697
400,1,5,5,4,-3357.3386928712
400,1,5,5,5,-3323.40625784905
400,1,5,6,1,-3393.6961554132
400,1,5,6,2,-3350.09052374913
400,1,5,6,3,-3323.16710616911
400,1,5,6,4,-3346.73350335894
400,1,5,6,5,-3302.66352915303
400,1,5,7,1,-3384.80866378122
400,1,5,7,2,-3309.29088697731
400,1,5,7,3,-3339.08285729875
400,1,5,7,4,-3336.91895578848
400,1,5,7,5,-3319.00511727262
400,1,5,8,1,-3389.82422280812
400,1,5,8,2,-3335.3335117798
400,1,5,8,3,-3333.06226784464
400,1,5,8,4,-3334.59064465626
400,1,5,8,5,-3388.86171019978
400,2,1,4,1,-3148.92378599155
400,2,1,4,2,-3137.71181755079
400,2,1,4,3,-3153.23423142292
400,2,1,4,4,-3174.21066796969
400,2,1,4,5,-3195.93923695349
400,2,1,5,1,-3129.05117063087
400,2,1,5,2,-3119.7945237538
400,2,1,5,3,-3133.770412906
400,2,1,5,4,-3161.11312107756
400,2,1,5,5,-3184.93471382507
400,2,1,6,1,-3129.11514879576
400,2,1,6,2,-3117.49653901109
400,2,1,6,3,-3138.61389075115
400,2,1,6,4,-3164.81439958755
400,2,1,6,5,-3213.18774621903
400,2,1,7,1,-3134.15408336245
400,2,1,7,2,-3120.26544126779
400,2,1,7,3,-3150.03273506861
400,2,1,7,4,-3169.03592070083
400,2,1,7,5,-3188.13831678262
400,2,1,8,1,-3158.95059907298
400,2,1,8,2,-3130.57098889567
400,2,1,8,3,-3144.62404032492
400,2,1,8,4,-3169.33815878637
400,2,1,8,5,-3213.73300055457
