"N","seed_theta","seed_Y","K","fold","predictive_llk","predictive_llk_dist_mean"
400,1,1,6,1,-3426.88645502222,-3459.29170296968
400,1,1,6,2,-3473.11518630307,-3479.47074093991
400,1,1,6,3,-3426.56126762381,-3438.82734716388
400,1,1,6,4,-3461.83261541053,-3479.52724288727
400,1,1,6,5,-3430.77384006874,-3474.41456284755
400,1,2,6,1,-3462.32466201826,-3503.19508152409
400,1,2,6,2,-3531.91437008234,-3512.35279201806
400,1,2,6,3,-3450.80156817405,-3496.63154030078
400,1,2,6,4,-3405.56929609134,-3437.58169048335
400,1,2,6,5,-3423.92220141376,-3466.46112578188
400,1,3,6,1,-3383.55348688553,-3424.32616152907
400,1,3,6,2,-3338.79454824096,-3376.5029267409
400,1,3,6,3,-3379.40437778271,-3423.20516246381
400,1,3,6,4,-3340.70587512395,-3375.39253273417
400,1,3,6,5,-3396.27578924712,-3407.71873107038
400,1,4,6,1,-3373.44168692859,-3406.49596696903
400,1,4,6,2,-3370.61040805955,-3407.93915707733
400,1,4,6,3,-3440.40605438299,-3446.00836877873
400,1,4,6,4,-3377.60111761156,-3404.35204870194
400,1,4,6,5,-3371.59780267955,-3410.16574003563
400,1,5,6,1,-3388.58412800966,-3419.72063462771
400,1,5,6,2,-3331.51809064341,-3359.91802193767
400,1,5,6,3,-3364.47340011317,-3386.53699050324
400,1,5,6,4,-3328.58306686317,-3365.24884969904
400,1,5,6,5,-3356.69001832611,-3352.45594281254
800,1,1,6,1,-6826.67040146142,-6847.84224306285
800,1,1,6,2,-6633.26429309625,-6665.17818332716
800,1,1,6,3,-6705.18092960687,-6742.00022360879
800,1,1,6,4,-6744.07582710725,-6787.56228347119
800,1,1,6,5,-6746.82432290376,-6758.22447960947
800,1,2,6,1,-6720.24146602731,-6762.05590189626
800,1,2,6,2,-6792.1420478237,-6833.58264341656
800,1,2,6,3,-6704.30284368526,-6700.90304158622
800,1,2,6,4,-6679.1324364586,-6712.27746074046
800,1,2,6,5,-6752.63806908605,-6788.53644512946
800,1,3,6,1,-6703.96889261542,-6742.23075036327
800,1,3,6,2,-6667.08274343777,-6691.07397715665
800,1,3,6,3,-6665.37129540155,-6701.81159785804
800,1,3,6,4,-6636.52823555893,-6676.7860749873
800,1,3,6,5,-6733.12108546254,-6774.61960679575
800,1,4,6,1,-6701.84393975568,-6744.43842512653
800,1,4,6,2,-6756.60115526874,-6785.21039351874
800,1,4,6,3,-6791.88627644088,-6835.90447196592
800,1,4,6,4,-6745.83745582754,-6781.56735577463
800,1,4,6,5,-6700.86509913972,-6742.81351139413
800,1,5,6,1,-6757.30748728384,-6800.67914816723
800,1,5,6,2,-6614.22272800202,-6653.7170559384
800,1,5,6,3,-6685.17109240846,-6725.17480684414
800,1,5,6,4,-6757.02432880056,-6752.31420433752
800,1,5,6,5,-6764.2812456704,-6786.89629641761
400,2,1,6,1,-3137.50529925279,-3154.95242349932
400,2,1,6,2,-3121.7305476066,-3144.37045910619
400,2,1,6,3,-3129.95190006745,-3152.3276415687
400,2,1,6,4,-3170.89489284843,-3189.44982460522
400,2,1,6,5,-3186.01434559505,-3209.73012025326
400,2,2,6,1,-3238.70876595013,-3248.33193102729
400,2,2,6,2,-3198.30361573476,-3208.00361395564
400,2,2,6,3,-3193.04316250604,-3205.71847064
